crs_arr_time,mean_hist_arr_delay
0,4.910612535612535
1,7.164150943396226
2,6.494845360824742
3,6.944444444444445
4,1.976027397260274
5,-3.607890499194847
6,-5.2491435689816255
7,-5.392032967032967
8,-4.38198087010182
9,-3.485215661452211
10,-3.1804337030293
11,-2.103562622226001
12,-1.982706093189964
13,-0.9274221453287197
14,0.05394638559216532
15,0.9245488346785163
16,1.7223648257017472
17,4.4860862905284655
18,4.5733344959888385
19,5.38787723347867
20,5.527183178632317
21,5.265582884097035
22,5.936642865238581
23,4.33099661175371
24,21.0
